           k         eta           a       delta      delta'
   0.0501187   8.2641300   0.0584139   0.0393119   0.0089328
   0.0501187   8.3080600   0.0587573   0.0397054   0.0089822
   0.0501187   8.3519900   0.0591006   0.0401011   0.0090316
   0.0501187   8.3959200   0.0594440   0.0404990   0.0090811
   0.0501187   8.4398500   0.0597874   0.0408990   0.0091306
   0.0501187   8.4837800   0.0601308   0.0413012   0.0091801
   0.0501187   8.5277100   0.0604741   0.0417055   0.0092297
   0.0501187   8.5716400   0.0608175   0.0421121   0.0092793
   0.0501187   8.6155700   0.0611609   0.0425208   0.0093290
   0.0501187   8.6595000   0.0615043   0.0429317   0.0093787
   0.0501187   8.7034300   0.0618477   0.0433448   0.0094285
   0.0501187   8.7473600   0.0621911   0.0437601   0.0094783
   0.0501187   8.7912900   0.0625344   0.0441776   0.0095281
   0.0501187   8.8352200   0.0628778   0.0445973   0.0095780
   0.0501187   8.8791500   0.0632212   0.0450191   0.0096279
   0.0501187   8.9230800   0.0635646   0.0454432   0.0096778
   0.0501187   8.9670100   0.0639080   0.0458694   0.0097278
   0.0501187   9.0109400   0.0642514   0.0462979   0.0097778
   0.0501187   9.0548700   0.0645948   0.0467285   0.0098278
   0.0501187   9.0988000   0.0649382   0.0471613   0.0098779
   0.0501187   9.1427300   0.0652816   0.0475964   0.0099280
   0.0501187   9.1866600   0.0656250   0.0480336   0.0099781
   0.0501187   9.2305900   0.0659684   0.0484730   0.0100283
   0.0501187   9.2745200   0.0663118   0.0489147   0.0100784
   0.0501187   9.3184500   0.0666552   0.0493585   0.0101286
   0.0501187   9.3623800   0.0669986   0.0498046   0.0101789
   0.0501187   9.4063100   0.0673420   0.0502529   0.0102291
   0.0501187   9.4502400   0.0676854   0.0507033   0.0102794
   0.0501187   9.4941700   0.0680289   0.0511560   0.0103297
   0.0501187   9.5381000   0.0683723   0.0516109   0.0103801
   0.0501187   9.5820300   0.0687157   0.0520680   0.0104304
   0.0501187   9.6259600   0.0690591   0.0525273   0.0104808
   0.0501187   9.6698900   0.0694026   0.0529888   0.0105312
   0.0501187   9.7138200   0.0697460   0.0534526   0.0105816
   0.0501187   9.7577500   0.0700895   0.0539185   0.0106321
   0.0501187   9.8016800   0.0704329   0.0543867   0.0106825
   0.0501187   9.8456100   0.0707764   0.0548571   0.0107330
   0.0501187   9.8895400   0.0711199   0.0553297   0.0107835
   0.0501187   9.9334700   0.0714633   0.0558045   0.0108340
   0.0501187   9.9774000   0.0718068   0.0562816   0.0108846
   0.0501187  10.0213300   0.0721504   0.0567609   0.0109351
   0.0501187  10.0652600   0.0724939   0.0572424   0.0109857
   0.0501187  10.1091900   0.0728375   0.0577261   0.0110362
   0.0501187  10.1531200   0.0732624   0.0582118   0.0110685
   0.0501187  10.1970500   0.0738668   0.0586983   0.0110802
   0.0501187  10.2409800   0.0744713   0.0591853   0.0110931
   0.0501187  10.2849100   0.0750758   0.0596730   0.0111071
